20131113 174432.838 org.eclipse.paho.client.mqttv3.test.logging.LoggingUtilities     banner                         
20131113 174501.434 org.eclipse.paho.client.mqttv3.internal.CommsCallback            messageArrived                 mqttv3.ModelTestCase: new msg avail, notify workAvailable
20131113 174501.434 org.eclipse.paho.client.mqttv3.internal.CommsReceiver            run                            mqttv3.ModelTestCase: network read message
20131113 174501.434 org.eclipse.paho.client.mqttv3.internal.CommsCallback            handleMessage                  mqttv3.ModelTestCase: call messageArrived key=0 topic=19cf470b-111b-45e8-9f96-519beaa4d9d9
20131113 174501.434 org.eclipse.paho.client.mqttv3.internal.CommsCallback            run                            mqttv3.ModelTestCase: notify spaceAvailable
20131113 174501.434 org.eclipse.paho.client.mqttv3.internal.CommsCallback            run                            mqttv3.ModelTestCase: wait for workAvailable
20131113 174501.434 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          getOutstandingDelTokens        mqttv3.ModelTestCase: >
20131113 174501.434 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   disconnect                     mqttv3.ModelTestCase: > quiesceTimeout=30,000 userContext=null callback=null
20131113 174501.435 org.eclipse.paho.client.mqttv3.internal.ClientComms              disconnect                     mqttv3.ModelTestCase: state=DISCONNECTING
20131113 174501.435 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   disconnect                     mqttv3.ModelTestCase: <
20131113 174501.435 org.eclipse.paho.client.mqttv3.internal.Token                    waitForCompletion              mqttv3.ModelTestCase: key=null wait max=-1 token=key=null ,topics= ,usercontext=null ,isComplete=false ,isNotified=false ,exception=null ,actioncallback=null
20131113 174501.435 org.eclipse.paho.client.mqttv3.internal.ClientComms              disconnectBG:run               mqttv3.ModelTestCase: >
20131113 174501.435 org.eclipse.paho.client.mqttv3.internal.Token                    waitForResponse                mqttv3.ModelTestCase: >key=null timeout=-1 sent=false completed=false hasException=false response=null token=key=null ,topics= ,usercontext=null ,isComplete=false ,isNotified=false ,exception=null ,actioncallback=null
20131113 174501.435 org.eclipse.paho.client.mqttv3.internal.ClientState              quiesce                        mqttv3.ModelTestCase: timeout=30,000
20131113 174501.435 org.eclipse.paho.client.mqttv3.internal.Token                    waitForResponse                mqttv3.ModelTestCase: key=null wait max=-1
20131113 174501.435 org.eclipse.paho.client.mqttv3.internal.CommsCallback            quiesce                        mqttv3.ModelTestCase: quiesce notify spaceAvailable
20131113 174501.435 org.eclipse.paho.client.mqttv3.internal.ClientState              notifyQueueLock                mqttv3.ModelTestCase: notifying queueLock holders
20131113 174501.435 org.eclipse.paho.client.mqttv3.internal.ClientState              quiesce                        mqttv3.ModelTestCase: finished
20131113 174501.436 org.eclipse.paho.client.mqttv3.internal.ClientComms              internalSend                   mqttv3.ModelTestCase: internalSend key=Disc message=DISCONNECT token=org.eclipse.paho.client.mqttv3.MqttToken@30a4fe7c
20131113 174501.436 org.eclipse.paho.client.mqttv3.internal.ClientState              get                            mqttv3.ModelTestCase: wait for 59,845 ms for new work or for space in the inflight window
20131113 174501.436 org.eclipse.paho.client.mqttv3.internal.ClientState              send                           mqttv3.ModelTestCase: pending send key=0 message DISCONNECT
20131113 174501.436 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          saveToken                      mqttv3.ModelTestCase: key=Disc message=DISCONNECT
20131113 174501.436 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          saveToken                      mqttv3.ModelTestCase: key=Disc token=org.eclipse.paho.client.mqttv3.MqttToken@30a4fe7c
20131113 174501.436 org.eclipse.paho.client.mqttv3.internal.Token                    waitUntilSent                  mqttv3.ModelTestCase: wait key=Disc
20131113 174501.436 org.eclipse.paho.client.mqttv3.internal.CommsSender              run                            mqttv3.ModelTestCase: network send key=Disc msg=DISCONNECT
20131113 174501.436 org.eclipse.paho.client.mqttv3.internal.wire.MqttOutputStream     write                          null: 500
20131113 174501.436 org.eclipse.paho.client.mqttv3.internal.ClientState              notifySent                     mqttv3.ModelTestCase: key=Disc
20131113 174501.436 org.eclipse.paho.client.mqttv3.internal.Token                    notifySent                     mqttv3.ModelTestCase: > key=Disc
20131113 174501.436 org.eclipse.paho.client.mqttv3.internal.ClientState              get                            mqttv3.ModelTestCase: wait for 59,998 ms for new work or for space in the inflight window
20131113 174501.436 org.eclipse.paho.client.mqttv3.internal.Token                    markComplete                   mqttv3.ModelTestCase: >key=Disc response=null excep=null
20131113 174501.436 org.eclipse.paho.client.mqttv3.internal.ClientComms              shutdownConnection             mqttv3.ModelTestCase: state=DISCONNECTING
20131113 174501.436 org.eclipse.paho.client.mqttv3.internal.CommsCallback            stop                           mqttv3.ModelTestCase: stopping
20131113 174501.437 org.eclipse.paho.client.mqttv3.internal.CommsCallback            stop                           mqttv3.ModelTestCase: notify workAvailable and wait for run
20131113 174501.437 org.eclipse.paho.client.mqttv3.internal.CommsCallback            run                            mqttv3.ModelTestCase: notify spaceAvailable
20131113 174501.437 org.eclipse.paho.client.mqttv3.internal.CommsCallback            stop                           mqttv3.ModelTestCase: stopped
20131113 174501.437 org.eclipse.paho.client.mqttv3.internal.CommsReceiver            stop                           mqttv3.ModelTestCase: stopping
20131113 174501.437 org.eclipse.paho.client.mqttv3.internal.CommsReceiver            run                            mqttv3.ModelTestCase: Stopping due to IOException
20131113 174501.437 org.eclipse.paho.client.mqttv3.internal.CommsReceiver            run                            mqttv3.ModelTestCase: <
20131113 174501.437 org.eclipse.paho.client.mqttv3.internal.CommsReceiver            stop                           mqttv3.ModelTestCase: stopped
20131113 174501.437 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          quiesce                        mqttv3.ModelTestCase: resp=Client is currently disconnecting (32102)
20131113 174501.437 org.eclipse.paho.client.mqttv3.internal.ClientComms              handleOldTokens                mqttv3.ModelTestCase: >
20131113 174501.437 org.eclipse.paho.client.mqttv3.internal.ClientState              resolveOldTokens               mqttv3.ModelTestCase: reason null
20131113 174501.437 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          getOutstandingTokens           mqttv3.ModelTestCase: >
20131113 174501.437 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          removeToken                    mqttv3.ModelTestCase: key=Disc
20131113 174501.437 org.eclipse.paho.client.mqttv3.internal.ClientState              disconnected                   mqttv3.ModelTestCase: disconnected
20131113 174501.437 org.eclipse.paho.client.mqttv3.internal.CommsSender              stop                           mqttv3.ModelTestCase: stopping sender
20131113 174501.438 org.eclipse.paho.client.mqttv3.internal.ClientState              notifyQueueLock                mqttv3.ModelTestCase: notifying queueLock holders
20131113 174501.438 org.eclipse.paho.client.mqttv3.internal.ClientState              get                            mqttv3.ModelTestCase: no outstanding flows and not connected
20131113 174501.438 org.eclipse.paho.client.mqttv3.internal.CommsSender              run                            mqttv3.ModelTestCase: get message returned null, stopping}
20131113 174501.438 org.eclipse.paho.client.mqttv3.internal.CommsSender              run                            mqttv3.ModelTestCase: <
20131113 174501.438 org.eclipse.paho.client.mqttv3.internal.CommsSender              stop                           mqttv3.ModelTestCase: stopped
20131113 174501.670 org.eclipse.paho.client.mqttv3.internal.ClientComms              shutdownConnection             mqttv3.ModelTestCase: state=DISCONNECTED
20131113 174501.670 org.eclipse.paho.client.mqttv3.internal.CommsCallback            handleActionComplete           mqttv3.ModelTestCase: callback and notify for key=Disc
20131113 174501.670 org.eclipse.paho.client.mqttv3.internal.Token                    notifyComplete                 mqttv3.ModelTestCase: >key=Disc response=null excep=null
20131113 174501.670 org.eclipse.paho.client.mqttv3.internal.Token                    waitForResponse                mqttv3.ModelTestCase: key=Disc response=null
20131113 174501.670 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          getOutstandingDelTokens        mqttv3.ModelTestCase: >
20131113 174501.670 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          getOutstandingDelTokens        mqttv3.ModelTestCase: >
20131113 174501.671 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   connect                        mqttv3.ModelTestCase: cleanSession=false connectionTimeout=30 TimekeepAlive=60 userName=null password=[null] will=[null] userContext=null callback=null
20131113 174501.671 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   createNetworkModules           mqttv3.ModelTestCase: URI=tcp://m2m.eclipse.org:1883
20131113 174501.671 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   createNetworkModule            mqttv3.ModelTestCase: URI=tcp://m2m.eclipse.org:1883
20131113 174501.671 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   createNetworkModules           mqttv3.ModelTestCase: <
20131113 174501.672 org.eclipse.paho.client.mqttv3.internal.ClientComms              connect                        mqttv3.ModelTestCase: state=CONNECTING
20131113 174501.672 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          open                           mqttv3.ModelTestCase: >
20131113 174501.673 org.eclipse.paho.client.mqttv3.internal.ClientComms              connectBG:run                  mqttv3.ModelTestCase: >
20131113 174501.673 org.eclipse.paho.client.mqttv3.internal.Token                    waitForCompletion              mqttv3.ModelTestCase: key=null wait max=-1 token=key=null ,topics= ,usercontext=org.eclipse.paho.client.mqttv3.MqttAsyncClient@2e746d6d ,isComplete=false ,isNotified=false ,exception=null ,actioncallback=org.eclipse.paho.client.mqttv3.internal.ConnectActionListener@655a6b10
20131113 174501.673 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          getOutstandingDelTokens        mqttv3.ModelTestCase: >
20131113 174501.673 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          saveToken                      mqttv3.ModelTestCase: key=Con message=CONNECT clientId mqttv3.ModelTestCase keepAliveInterval 60
20131113 174501.673 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          saveToken                      mqttv3.ModelTestCase: key=Con token=org.eclipse.paho.client.mqttv3.MqttToken@132b1b6c
20131113 174501.673 org.eclipse.paho.client.mqttv3.internal.TCPNetworkModule         start                          mqttv3.ModelTestCase: connect to host m2m.eclipse.org port 1,883 timeout 30,000
20131113 174501.673 org.eclipse.paho.client.mqttv3.internal.Token                    waitForResponse                mqttv3.ModelTestCase: >key=null timeout=-1 sent=false completed=false hasException=false response=null token=key=null ,topics= ,usercontext=org.eclipse.paho.client.mqttv3.MqttAsyncClient@2e746d6d ,isComplete=false ,isNotified=false ,exception=null ,actioncallback=org.eclipse.paho.client.mqttv3.internal.ConnectActionListener@655a6b10
20131113 174501.673 org.eclipse.paho.client.mqttv3.internal.Token                    waitForResponse                mqttv3.ModelTestCase: key=null wait max=-1
20131113 174501.728 org.eclipse.paho.client.mqttv3.internal.CommsReceiver            start                          mqttv3.ModelTestCase: starting
20131113 174501.729 org.eclipse.paho.client.mqttv3.internal.CommsReceiver            run                            mqttv3.ModelTestCase: network read message
20131113 174501.729 org.eclipse.paho.client.mqttv3.internal.ClientComms              internalSend                   mqttv3.ModelTestCase: internalSend key=Con message=CONNECT clientId mqttv3.ModelTestCase keepAliveInterval 60 token=org.eclipse.paho.client.mqttv3.MqttToken@132b1b6c
20131113 174501.729 org.eclipse.paho.client.mqttv3.internal.ClientState              get                            mqttv3.ModelTestCase: wait for 60,000 ms for new work or for space in the inflight window
20131113 174501.729 org.eclipse.paho.client.mqttv3.internal.CommsCallback            run                            mqttv3.ModelTestCase: wait for workAvailable
20131113 174501.729 org.eclipse.paho.client.mqttv3.internal.ClientState              send                           mqttv3.ModelTestCase: pending send key=0 message CONNECT clientId mqttv3.ModelTestCase keepAliveInterval 60
20131113 174501.729 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          saveToken                      mqttv3.ModelTestCase: key=Con message=CONNECT clientId mqttv3.ModelTestCase keepAliveInterval 60
20131113 174501.729 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          saveToken                      mqttv3.ModelTestCase: key=Con token=org.eclipse.paho.client.mqttv3.MqttToken@132b1b6c
20131113 174501.730 org.eclipse.paho.client.mqttv3.internal.CommsSender              run                            mqttv3.ModelTestCase: network send key=Con msg=CONNECT clientId mqttv3.ModelTestCase keepAliveInterval 60
20131113 174501.730 org.eclipse.paho.client.mqttv3.internal.wire.MqttOutputStream     write                          null: 500
20131113 174501.730 org.eclipse.paho.client.mqttv3.internal.ClientState              notifySent                     mqttv3.ModelTestCase: key=Con
20131113 174501.730 org.eclipse.paho.client.mqttv3.internal.Token                    notifySent                     mqttv3.ModelTestCase: > key=Con
20131113 174501.730 org.eclipse.paho.client.mqttv3.internal.ClientState              get                            mqttv3.ModelTestCase: wait for 60,000 ms for new work or for space in the inflight window
20131113 174501.820 org.eclipse.paho.client.mqttv3.internal.wire.MqttInputStream     readMqttWireMessage            null: 501
20131113 174501.820 org.eclipse.paho.client.mqttv3.internal.ClientState              notifyReceivedAck              mqttv3.ModelTestCase: received key=0 message=CONNACK msgId 0 return code: 0
20131113 174501.820 org.eclipse.paho.client.mqttv3.internal.ClientState              connected                      mqttv3.ModelTestCase: connected
20131113 174501.820 org.eclipse.paho.client.mqttv3.internal.ClientComms              connectComplete                mqttv3.ModelTestCase: state=CONNECTED
20131113 174501.820 org.eclipse.paho.client.mqttv3.internal.Token                    markComplete                   mqttv3.ModelTestCase: >key=Con response=CONNACK msgId 0 return code: 0 excep=null
20131113 174501.820 org.eclipse.paho.client.mqttv3.internal.ClientState              notifyResult                   mqttv3.ModelTestCase: keyCon, msg=CONNACK msgId 0 return code: 0, excep=null
20131113 174501.821 org.eclipse.paho.client.mqttv3.internal.CommsCallback            asyncOperationComplete         mqttv3.ModelTestCase: new workAvailable. key=Con
20131113 174501.821 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          removeToken                    mqttv3.ModelTestCase: key=Con
20131113 174501.821 org.eclipse.paho.client.mqttv3.internal.CommsReceiver            run                            mqttv3.ModelTestCase: network read message
20131113 174501.821 org.eclipse.paho.client.mqttv3.internal.CommsCallback            handleActionComplete           mqttv3.ModelTestCase: callback and notify for key=Con
20131113 174501.821 org.eclipse.paho.client.mqttv3.internal.ClientState              get                            mqttv3.ModelTestCase: wait for 59,909 ms for new work or for space in the inflight window
20131113 174501.821 org.eclipse.paho.client.mqttv3.internal.Token                    notifyComplete                 mqttv3.ModelTestCase: >key=Con response=CONNACK msgId 0 return code: 0 excep=null
20131113 174501.821 org.eclipse.paho.client.mqttv3.internal.CommsCallback            fireActionEvent                mqttv3.ModelTestCase: call onSuccess key=Con
20131113 174501.821 org.eclipse.paho.client.mqttv3.internal.Token                    markComplete                   mqttv3.ModelTestCase: >key=null response=null excep=null
20131113 174501.821 org.eclipse.paho.client.mqttv3.internal.Token                    notifyComplete                 mqttv3.ModelTestCase: >key=null response=null excep=null
20131113 174501.821 org.eclipse.paho.client.mqttv3.internal.Token                    waitForResponse                mqttv3.ModelTestCase: key=null response=null
20131113 174501.821 org.eclipse.paho.client.mqttv3.internal.ClientState              notifyComplete                 mqttv3.ModelTestCase: received key=0 token=org.eclipse.paho.client.mqttv3.MqttToken@132b1b6c message=CONNACK msgId 0 return code: 0
20131113 174501.821 org.eclipse.paho.client.mqttv3.internal.CommsCallback            run                            mqttv3.ModelTestCase: notify spaceAvailable
20131113 174501.821 org.eclipse.paho.client.mqttv3.internal.CommsCallback            run                            mqttv3.ModelTestCase: wait for workAvailable
20131113 174501.822 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   subscribe                      mqttv3.ModelTestCase: Subscribe topic=30fe42d0-c9eb-4f64-ab6b-1ed3219c5645:2 userContext=null callback=null
20131113 174501.822 org.eclipse.paho.client.mqttv3.internal.ClientComms              internalSend                   mqttv3.ModelTestCase: internalSend key=0 message=SUBSCRIBE names:[] qos:[] token=org.eclipse.paho.client.mqttv3.MqttToken@2797e57c
20131113 174501.822 org.eclipse.paho.client.mqttv3.internal.ClientState              send                           mqttv3.ModelTestCase: pending send key=30 message SUBSCRIBE names:[] qos:[]
20131113 174501.822 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          saveToken                      mqttv3.ModelTestCase: key=30 message=SUBSCRIBE names:[] qos:[]
20131113 174501.822 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          saveToken                      mqttv3.ModelTestCase: key=30 token=org.eclipse.paho.client.mqttv3.MqttToken@2797e57c
20131113 174501.822 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   subscribe                      mqttv3.ModelTestCase: <
20131113 174501.822 org.eclipse.paho.client.mqttv3.internal.CommsSender              run                            mqttv3.ModelTestCase: network send key=30 msg=SUBSCRIBE names:[] qos:[]
20131113 174501.822 org.eclipse.paho.client.mqttv3.internal.Token                    waitForCompletion              mqttv3.ModelTestCase: key=30 wait max=-1 token=key=30 ,topics=30fe42d0-c9eb-4f64-ab6b-1ed3219c5645,  ,usercontext=null ,isComplete=false ,isNotified=false ,exception=null ,actioncallback=null
20131113 174501.822 org.eclipse.paho.client.mqttv3.internal.wire.MqttOutputStream     write                          null: 500
20131113 174501.822 org.eclipse.paho.client.mqttv3.internal.Token                    waitForResponse                mqttv3.ModelTestCase: >key=30 timeout=-1 sent=false completed=false hasException=false response=null token=key=30 ,topics=30fe42d0-c9eb-4f64-ab6b-1ed3219c5645,  ,usercontext=null ,isComplete=false ,isNotified=false ,exception=null ,actioncallback=null
20131113 174501.822 org.eclipse.paho.client.mqttv3.internal.Token                    waitForResponse                mqttv3.ModelTestCase: key=30 wait max=-1
20131113 174501.822 org.eclipse.paho.client.mqttv3.internal.ClientState              notifySent                     mqttv3.ModelTestCase: key=30
20131113 174501.822 org.eclipse.paho.client.mqttv3.internal.Token                    notifySent                     mqttv3.ModelTestCase: > key=30
20131113 174501.823 org.eclipse.paho.client.mqttv3.internal.ClientState              get                            mqttv3.ModelTestCase: wait for 59,997 ms for new work or for space in the inflight window
20131113 174501.876 org.eclipse.paho.client.mqttv3.internal.wire.MqttInputStream     readMqttWireMessage            null: 501
20131113 174501.877 org.eclipse.paho.client.mqttv3.internal.ClientState              notifyReceivedAck              mqttv3.ModelTestCase: received key=30 message=SUBACK msgId 30 granted Qos 2
20131113 174501.877 org.eclipse.paho.client.mqttv3.internal.Token                    markComplete                   mqttv3.ModelTestCase: >key=30 response=SUBACK msgId 30 granted Qos 2 excep=null
20131113 174501.877 org.eclipse.paho.client.mqttv3.internal.ClientState              notifyResult                   mqttv3.ModelTestCase: key30, msg=SUBACK msgId 30 granted Qos 2, excep=null
20131113 174501.877 org.eclipse.paho.client.mqttv3.internal.CommsCallback            asyncOperationComplete         mqttv3.ModelTestCase: new workAvailable. key=30
20131113 174501.877 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          removeToken                    mqttv3.ModelTestCase: key=30
20131113 174501.877 org.eclipse.paho.client.mqttv3.internal.CommsReceiver            run                            mqttv3.ModelTestCase: network read message
20131113 174501.877 org.eclipse.paho.client.mqttv3.internal.CommsCallback            handleActionComplete           mqttv3.ModelTestCase: callback and notify for key=30
20131113 174501.877 org.eclipse.paho.client.mqttv3.internal.Token                    notifyComplete                 mqttv3.ModelTestCase: >key=30 response=SUBACK msgId 30 granted Qos 2 excep=null
20131113 174501.877 org.eclipse.paho.client.mqttv3.internal.Token                    waitForResponse                mqttv3.ModelTestCase: key=30 response=SUBACK msgId 30 granted Qos 2
20131113 174501.877 org.eclipse.paho.client.mqttv3.internal.ClientState              notifyComplete                 mqttv3.ModelTestCase: received key=30 token=org.eclipse.paho.client.mqttv3.MqttToken@2797e57c message=SUBACK msgId 30 granted Qos 2
20131113 174501.877 org.eclipse.paho.client.mqttv3.internal.CommsCallback            run                            mqttv3.ModelTestCase: notify spaceAvailable
20131113 174501.877 org.eclipse.paho.client.mqttv3.internal.CommsCallback            run                            mqttv3.ModelTestCase: wait for workAvailable
20131113 174501.877 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   unsubscribe                    mqttv3.ModelTestCase: Unsubscribe topic=9a3f76d6-3312-4f88-b81c-d928ccb4375e userContext=null callback=null
20131113 174501.878 org.eclipse.paho.client.mqttv3.internal.ClientComms              internalSend                   mqttv3.ModelTestCase: internalSend key=0 message=UNSUBSCRIBE names:[] token=org.eclipse.paho.client.mqttv3.MqttToken@4ada629a
20131113 174501.878 org.eclipse.paho.client.mqttv3.internal.ClientState              send                           mqttv3.ModelTestCase: pending send key=31 message UNSUBSCRIBE names:[]
20131113 174501.878 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          saveToken                      mqttv3.ModelTestCase: key=31 message=UNSUBSCRIBE names:[]
20131113 174501.878 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          saveToken                      mqttv3.ModelTestCase: key=31 token=org.eclipse.paho.client.mqttv3.MqttToken@4ada629a
20131113 174501.878 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   unsubscribe                    mqttv3.ModelTestCase: <
20131113 174501.878 org.eclipse.paho.client.mqttv3.internal.CommsSender              run                            mqttv3.ModelTestCase: network send key=31 msg=UNSUBSCRIBE names:[]
20131113 174501.878 org.eclipse.paho.client.mqttv3.internal.Token                    waitForCompletion              mqttv3.ModelTestCase: key=31 wait max=-1 token=key=31 ,topics=9a3f76d6-3312-4f88-b81c-d928ccb4375e,  ,usercontext=null ,isComplete=false ,isNotified=false ,exception=null ,actioncallback=null
20131113 174501.878 org.eclipse.paho.client.mqttv3.internal.wire.MqttOutputStream     write                          null: 500
20131113 174501.878 org.eclipse.paho.client.mqttv3.internal.Token                    waitForResponse                mqttv3.ModelTestCase: >key=31 timeout=-1 sent=false completed=false hasException=false response=null token=key=31 ,topics=9a3f76d6-3312-4f88-b81c-d928ccb4375e,  ,usercontext=null ,isComplete=false ,isNotified=false ,exception=null ,actioncallback=null
20131113 174501.878 org.eclipse.paho.client.mqttv3.internal.Token                    waitForResponse                mqttv3.ModelTestCase: key=31 wait max=-1
20131113 174501.878 org.eclipse.paho.client.mqttv3.internal.ClientState              notifySent                     mqttv3.ModelTestCase: key=31
20131113 174501.878 org.eclipse.paho.client.mqttv3.internal.Token                    notifySent                     mqttv3.ModelTestCase: > key=31
20131113 174501.878 org.eclipse.paho.client.mqttv3.internal.ClientState              get                            mqttv3.ModelTestCase: wait for 59,999 ms for new work or for space in the inflight window
20131113 174501.940 org.eclipse.paho.client.mqttv3.internal.wire.MqttInputStream     readMqttWireMessage            null: 501
20131113 174501.940 org.eclipse.paho.client.mqttv3.internal.ClientState              notifyReceivedAck              mqttv3.ModelTestCase: received key=31 message=UNSUBACK msgId 31
20131113 174501.940 org.eclipse.paho.client.mqttv3.internal.Token                    markComplete                   mqttv3.ModelTestCase: >key=31 response=UNSUBACK msgId 31 excep=null
20131113 174501.940 org.eclipse.paho.client.mqttv3.internal.ClientState              notifyResult                   mqttv3.ModelTestCase: key31, msg=UNSUBACK msgId 31, excep=null
20131113 174501.940 org.eclipse.paho.client.mqttv3.internal.CommsCallback            asyncOperationComplete         mqttv3.ModelTestCase: new workAvailable. key=31
20131113 174501.940 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          removeToken                    mqttv3.ModelTestCase: key=31
20131113 174501.940 org.eclipse.paho.client.mqttv3.internal.CommsReceiver            run                            mqttv3.ModelTestCase: network read message
20131113 174501.940 org.eclipse.paho.client.mqttv3.internal.CommsCallback            handleActionComplete           mqttv3.ModelTestCase: callback and notify for key=31
20131113 174501.941 org.eclipse.paho.client.mqttv3.internal.Token                    notifyComplete                 mqttv3.ModelTestCase: >key=31 response=UNSUBACK msgId 31 excep=null
20131113 174501.941 org.eclipse.paho.client.mqttv3.internal.ClientState              notifyComplete                 mqttv3.ModelTestCase: received key=31 token=org.eclipse.paho.client.mqttv3.MqttToken@4ada629a message=UNSUBACK msgId 31
20131113 174501.941 org.eclipse.paho.client.mqttv3.internal.CommsCallback            run                            mqttv3.ModelTestCase: notify spaceAvailable
20131113 174501.941 org.eclipse.paho.client.mqttv3.internal.CommsCallback            run                            mqttv3.ModelTestCase: wait for workAvailable
20131113 174501.941 org.eclipse.paho.client.mqttv3.internal.Token                    waitForResponse                mqttv3.ModelTestCase: key=31 response=UNSUBACK msgId 31
20131113 174501.941 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   subscribe                      mqttv3.ModelTestCase: Subscribe topic=2e5eb8a7-e378-4c6b-9330-256e288dd8a8:2 userContext=null callback=null
20131113 174501.941 org.eclipse.paho.client.mqttv3.internal.ClientComms              internalSend                   mqttv3.ModelTestCase: internalSend key=0 message=SUBSCRIBE names:[] qos:[] token=org.eclipse.paho.client.mqttv3.MqttToken@477f92da
20131113 174501.941 org.eclipse.paho.client.mqttv3.internal.ClientState              send                           mqttv3.ModelTestCase: pending send key=32 message SUBSCRIBE names:[] qos:[]
20131113 174501.941 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          saveToken                      mqttv3.ModelTestCase: key=32 message=SUBSCRIBE names:[] qos:[]
20131113 174501.942 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          saveToken                      mqttv3.ModelTestCase: key=32 token=org.eclipse.paho.client.mqttv3.MqttToken@477f92da
20131113 174501.942 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   subscribe                      mqttv3.ModelTestCase: <
20131113 174501.942 org.eclipse.paho.client.mqttv3.internal.CommsSender              run                            mqttv3.ModelTestCase: network send key=32 msg=SUBSCRIBE names:[] qos:[]
20131113 174501.942 org.eclipse.paho.client.mqttv3.internal.Token                    waitForCompletion              mqttv3.ModelTestCase: key=32 wait max=-1 token=key=32 ,topics=2e5eb8a7-e378-4c6b-9330-256e288dd8a8,  ,usercontext=null ,isComplete=false ,isNotified=false ,exception=null ,actioncallback=null
20131113 174501.942 org.eclipse.paho.client.mqttv3.internal.wire.MqttOutputStream     write                          null: 500
20131113 174501.942 org.eclipse.paho.client.mqttv3.internal.Token                    waitForResponse                mqttv3.ModelTestCase: >key=32 timeout=-1 sent=false completed=false hasException=false response=null token=key=32 ,topics=2e5eb8a7-e378-4c6b-9330-256e288dd8a8,  ,usercontext=null ,isComplete=false ,isNotified=false ,exception=null ,actioncallback=null
20131113 174501.942 org.eclipse.paho.client.mqttv3.internal.Token                    waitForResponse                mqttv3.ModelTestCase: key=32 wait max=-1
20131113 174501.942 org.eclipse.paho.client.mqttv3.internal.ClientState              notifySent                     mqttv3.ModelTestCase: key=32
20131113 174501.942 org.eclipse.paho.client.mqttv3.internal.Token                    notifySent                     mqttv3.ModelTestCase: > key=32
20131113 174501.942 org.eclipse.paho.client.mqttv3.internal.ClientState              get                            mqttv3.ModelTestCase: wait for 59,998 ms for new work or for space in the inflight window
20131113 174501.998 org.eclipse.paho.client.mqttv3.internal.wire.MqttInputStream     readMqttWireMessage            null: 501
20131113 174501.998 org.eclipse.paho.client.mqttv3.internal.ClientState              notifyReceivedAck              mqttv3.ModelTestCase: received key=32 message=SUBACK msgId 32 granted Qos 2
20131113 174501.998 org.eclipse.paho.client.mqttv3.internal.Token                    markComplete                   mqttv3.ModelTestCase: >key=32 response=SUBACK msgId 32 granted Qos 2 excep=null
20131113 174501.998 org.eclipse.paho.client.mqttv3.internal.ClientState              notifyResult                   mqttv3.ModelTestCase: key32, msg=SUBACK msgId 32 granted Qos 2, excep=null
20131113 174501.998 org.eclipse.paho.client.mqttv3.internal.CommsCallback            asyncOperationComplete         mqttv3.ModelTestCase: new workAvailable. key=32
20131113 174501.998 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          removeToken                    mqttv3.ModelTestCase: key=32
20131113 174501.998 org.eclipse.paho.client.mqttv3.internal.CommsReceiver            run                            mqttv3.ModelTestCase: network read message
20131113 174501.998 org.eclipse.paho.client.mqttv3.internal.CommsCallback            handleActionComplete           mqttv3.ModelTestCase: callback and notify for key=32
20131113 174501.999 org.eclipse.paho.client.mqttv3.internal.Token                    notifyComplete                 mqttv3.ModelTestCase: >key=32 response=SUBACK msgId 32 granted Qos 2 excep=null
